"Volg nr.";ID-ON;"SR- Schadenr";"Datum Opname";"Status Schade";Proces;"Status proces";Opmerking1;Bron;"Datum Schouw";Weg;Baan;DVK;Strook;"Hm van";"Tot Hm";"Verl.
Aanw";"Sign.
aanw";"IVON Plan";"Risico klasse";"Ernst klasse";Schadebeeld;"Aantal (stuks)
gaten/ scheuren";"Lengte in m";"Breedte in m";"Opper vlakte in m2";"Huidige deklaag";Lussen;Onderzoek;"Datum Garantie tot1";"Unieke Garantie Code";"Naam Garantiegever";Opmerking2;"Type inzet";"Advies aanpak";Foto's;Schets;"Plan Datum";Opm.;Offertenr.;"Datum Mail Akkoord";Opdrachtnr.;"Opdracht Datum";"Kosten Indicatie";Opmerking3;"Datum Uitvoering";"Type Asfalt";"Datum Garantie tot2";Opmerking4;"Afl. dossier nr.";Volgnr.;"Def. Bedrag";"Datum Ontvangst RWS";"Datum Techn. Akkoord";"Datum Fin. Akkoord";"Datum Akkoord CM";"Datum PV";Opmerking5
12;12;;;;;;;;;;;;;;;;;13-7-2017;13-7-2017;A15;A15;HRR;HRR;;;"RS 2 + VS";"RS 2 + VS";126,255;126,255;;;nee;nee;nee;nee;;;2;2;2;2;1x;1x;1;1;;;"RS 2 + 1m1";"RS 2 + 1m1";"2 m2";"2 m2";ZOAB;ZOAB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;13;;;;;;;;;;;;;;;;;13-7-2017;13-7-2017;A15;A15;VWR;VWR;;;"RS 1";"RS 1";130,432;130,432;130,456;130,456;nee;nee;nee;nee;;;2;2;1;1;rafeling;rafeling;;;"30 m";"30 m";4;4;"120 m2";"120 m2";ZOAB;ZOAB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;14;;;;;;;;;;;;;;;;;13-7-2017;13-7-2017;A15;A15;HRR;HRR;;;"RS 2";"RS 2";130,610;130,610;;;nee;nee;nee;nee;;;2;2;2;2;rafeling;rafeling;;;"25 m";"25 m";4;4;"100 m2";"100 m2";ZOAB;ZOAB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;15;;;;;;;;;;;;;;;;;13-7-2017;13-7-2017;A15;A15;HRR;HRR;;;"RS 1 + RS 2";"RS 1 + RS 2";131,150;131,150;;;nee;nee;nee;nee;;;2;2;1;1;opbolling;opbolling;;;;;2m;2m;;;ZOAB;ZOAB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;16;;;;;;;;;;;;;;;;;13-7-2017;13-7-2017;A15;A15;HRR;HRR;;;"RS 2 + VS";"RS 2 + VS";138,480;138,480;;;nee;nee;nee;nee;;;Schade;Schade;5;5;Krasschade;Krasschade;;;"110 m";"110 m";;;;;ZOAB;ZOAB;;;;;"R2 30-4-2019       VS 30-4-2022";"R2 30-4-2019       VS 30-4-2022";;;"De Jong en Zoon Beesd B.V. / De Jong Zuurmond
";"De Jong en Zoon Beesd B.V. / De Jong Zuurmond
";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;17;;;;;;;;;;;Check;Check;;;;;18-7-2017;18-7-2017;A15;A15;VWL;VWL;;;"RS 1";"RS 1";160,000;160,000;159,600;159,600;nee;nee;nee;nee;;;2;2;2;2;rafeling;rafeling;;;"400 m";"400 m";4;4;"1.600 m2";"1.600 m2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;18;;;;;;;;;;;Hersteld;Hersteld;;;ON;ON;13-7-2017;13-7-2017;A15;A15;HRL;HRL;;;"RS 1 tm VS";"RS 1 tm VS";158,910;158,910;;;nee;nee;ja;ja;;;?;?;?;?;1x;1x;1;1;"25 m";"25 m";12;12;"300 m2";"300 m2";ZOAB;ZOAB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;19;;;;;;;;;;;;;;;;;13-7-2017;13-7-2017;A15;A15;HRL;HRL;;;"RS 1 tm VS";"RS 1 tm VS";158,000;158,000;;;nee;nee;ja;ja;;;2;2;1;1;1x;1x;1;1;"14 m";"14 m";4;4;"56 m2";"56 m2";ZOAB;ZOAB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;20;;;;;;;;;;;Hersteld;Hersteld;;;ON;ON;13-7-2017;13-7-2017;A15;A15;HRL;HRL;;;"RS 1 tm VS";"RS 1 tm VS";156,650;156,650;;;nee;nee;ja;ja;;;?;?;?;?;1x;1x;1;1;"25 m";"25 m";12;12;"300 m2";"300 m2";ZOAB;ZOAB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;21;;;;;;;;;;;;;;;;;18-7-2017;18-7-2017;A15;A15;HRL;HRL;;;"RS 1 tm VS";"RS 1 tm VS";147,580;147,580;;;nee;nee;nee;nee;;;2;2;2;2;1x;1x;1;1;"14 m";"14 m";4;4;"56 m2";"56 m2";ZOAB;ZOAB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;22;;;;;;;;;;;;;;;;;18-7-2017;18-7-2017;A15;A15;HRL;HRL;;;"RS 1+ 2";"RS 1+ 2";145,510;145,510;145,300;145,300;nee;nee;nee;nee;;;1;1;1;1;"Rafeling en craquele";"Rafeling en craquele";;;"200 m";"200 m";8;8;"1.600 m2";"1.600 m2";ZOAB;ZOAB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;23;;;;;;;;;;;;;;;;;18-7-2017;18-7-2017;A15;A15;HRL;HRL;;;"RS 2";"RS 2";145,000;145,000;;;nee;nee;nee;nee;;;1;1;1;1;rafeling;rafeling;;;"25 m";"25 m";4;4;"100 m2";"100 m2";ZOAB;ZOAB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;24;;;;;;;;;;;;;;;;;18-7-2017;18-7-2017;A15;A15;HRL;HRL;;;"RS 1 tm VS";"RS 1 tm VS";144,170;144,170;144,100;144,100;nee;nee;nee;nee;;;2;2;1;1;1x;1x;1;1;"28 m";"28 m";4;4;"112 m2";"112 m2";ZOAB;ZOAB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;25;;;;;;;;;;;;;;;;;18-7-2017;18-7-2017;A15;A15;"HRL + VWL";"HRL + VWL";;;"RS 2 + VWL/VS";"RS 2 + VWL/VS";140,150;140,150;139,950;139,950;nee;nee;nee;nee;;;3;3;2;2;rafeling;rafeling;;;"200 m";"200 m";8;8;"1.600 m2";"1.600 m2";ZOAB;ZOAB;;;;;15-10-2021;15-10-2021;;;"De Jong en Zoon Beesd B.V.";"De Jong en Zoon Beesd B.V.";"Van VWL 140,15 - 140,13";"Van VWL 140,15 - 140,13";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;26;;;;;;;;;;;;;;;;;18-7-2017;18-7-2017;A15;A15;HRL;HRL;;;"RS 1";"RS 1";129,260;129,260;129,245;129,245;;;nee;nee;;;2;2;2;2;rafeling;rafeling;;;"25 m";"25 m";4;4;"100 m2";"100 m2";ZOAB;ZOAB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;27;;;;;;;;;;;;;;;;;18-7-2017;18-7-2017;A15;A15;HRL;HRL;;;"RS 1";"RS 1";127,950;127,950;127,900;127,900;;;nee;nee;;;2;2;2;2;rafeling;rafeling;;;"50 m";"50 m";4;4;"200 m2";"200 m2";ZOAB;ZOAB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;28;;;;;;;;;;;;;;;;;18-7-2017;18-7-2017;A15;A15;HRL;HRL;;;"RS 2";"RS 2";125,160;125,160;;;;;nee;nee;;;1;1;1;1;rafeling;rafeling;;;;;"RS 2";"RS 2";;;ZOAB;ZOAB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;29;;;;;;;;;;;Hersteld;Hersteld;;;ON;ON;18-7-2017;18-7-2017;A15;A15;HRL;HRL;;;"As RS1-RS2";"As RS1-RS2";124,820;124,820;124,770;124,770;;;nee;nee;;;?;?;?;?;"asnaad staat open";"asnaad staat open";;;"50 m";"50 m";;;" m2";" m2";ZOAB;ZOAB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;30;;;;;;;;;;;;;;;;;18-7-2017;18-7-2017;A15;A15;HRL;HRL;;;"RS 2";"RS 2";118,080;118,080;116,000;116,000;nee;nee;nee;nee;;;;;5;5;Krasschade;Krasschade;;;"2000 m";"2000 m";"RS 2";"RS 2";;;ZOAB+;ZOAB+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;31;;;;;;;;;;;;;;;;;18-7-2017;18-7-2017;A15;A15;HRL;HRL;;;"RS 1 tm VS";"RS 1 tm VS";117,860;117,860;;;nee;nee;nee;nee;;;2;2;2;2;2x;2x;2;2;"25 m";"25 m";4;4;"100 m2";"100 m2";ZOAB+;ZOAB+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;32;;;;;;;;;;;;;;;;;18-7-2017;18-7-2017;A15;A15;HRL;HRL;;;"RS 2";"RS 2";117,450;117,450;;;;;nee;nee;;;2;2;1;1;"Rafeling en craquele";"Rafeling en craquele";;;"25 m";"25 m";4;4;"100 m2";"100 m2";ZOAB+;ZOAB+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;33;;;;;;;;;;;Vervolg?;Vervolg?;;;ON;ON;20-7-2017;20-7-2017;A15;A15;VWR;VWR;j;j;RS1;RS1;155,790;155,790;155,900;155,900;ja;ja;nee;nee;;;2;2;2;2;"Rafeling en gaten";"Rafeling en gaten";;;"110 m";"110 m";5;5;"550 m2";"550 m2";"ZOAB TW";"ZOAB TW";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;34;;;;;;;;;;;aanvraag;aanvraag;;;;;20-7-2017;20-7-2017;A50;A50;HRR;HRR;;;"RS 1 tm VS";"RS 1 tm VS";156,000;156,000;156,200;156,200;ja;ja;nee;nee;;;3;3;2;2;"Rafeling en scheuren";"Rafeling en scheuren";;;"600 m";"600 m";4;4;"2.400 m2";"2.400 m2";"ZOAB TW";"ZOAB TW";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;35;;;;;;;;;;;aanvraag;aanvraag;;;;;20-7-2017;20-7-2017;A50;A50;HRR;HRR;;;"RS 3 + VS";"RS 3 + VS";156,616;156,616;156,750;156,750;ja;ja;ja;ja;;;3;3;2;2;"Rafeling en scheuren";"Rafeling en scheuren";;;"150 m";"150 m";8;8;"1.200 m2";"1.200 m2";"ZOAB TW";"ZOAB TW";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;36;;;;;;;;;LVO;LVO;Hersteld;Hersteld;;;ON;ON;20-7-2017;20-7-2017;A50;A50;HRR;HRR;;;"RS 3";"RS 3";157,300;157,300;157,400;157,400;ja;ja;ja;ja;;;?;?;?;?;"Rafeling en scheuren";"Rafeling en scheuren";;;"100 m";"100 m";4;4;"400 m2";"400 m2";"ZOAB TW";"ZOAB TW";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;37;;;;;;;;;LVO;LVO;Hersteld;Hersteld;;;ON;ON;20-7-2017;20-7-2017;A50;A50;HRR;HRR;;;"RS 3";"RS 3";158,700;158,700;158,750;158,750;ja;ja;ja;ja;;;?;?;?;?;"Rafeling en scheuren";"Rafeling en scheuren";;;"50 m";"50 m";8;8;"400 m2";"400 m2";"ZOAB TW";"ZOAB TW";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;38;;;;;;;;;LVO;LVO;Hersteld;Hersteld;;;ON;ON;20-7-2017;20-7-2017;A50;A50;HRR;HRR;;;"RS 3";"RS 3";158,800;158,800;158,850;158,850;ja;ja;ja;ja;;;?;?;?;?;"Rafeling en scheuren";"Rafeling en scheuren";;;"50 m";"50 m";4;4;"200 m2";"200 m2";"ZOAB TW";"ZOAB TW";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;39;;;;;;;;;;;Hersteld;Hersteld;;;ON;ON;20-7-2017;20-7-2017;A50;A50;HRR;HRR;;;"RS 3";"RS 3";159,880;159,880;159,930;159,930;ja;ja;nee;nee;;;?;?;?;?;"Rafeling en scheuren";"Rafeling en scheuren";;;"50 m";"50 m";4;4;"200 m2";"200 m2";"ZOAB TW";"ZOAB TW";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;40;;;;;;;;;LVO;LVO;Hersteld;Hersteld;;;ON;ON;20-7-2017;20-7-2017;A50;A50;HRL;HRL;;;"RS 3";"RS 3";165,350;165,350;165,150;165,150;ja;ja;ja;ja;;;?;?;?;?;"Rafeling en scheuren";"Rafeling en scheuren";;;"200 m";"200 m";4;4;"800 m2";"800 m2";"ZOAB TW";"ZOAB TW";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;41;;;;;;;;;;;Hersteld;Hersteld;;;ON;ON;20-7-2017;20-7-2017;A50;A50;VWL;VWL;c;c;"RS 1 + VS";"RS 1 + VS";159,000;159,000;;;ja;ja;nee;nee;;;?;?;?;?;"1x scheur";"1x scheur";1;1;"10 m";"10 m";2;2;"20 m2";"20 m2";"ZOAB TW";"ZOAB TW";;;;;1-4-2018;1-4-2018;;;Heijmans;Heijmans;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;42;;;;;;;;;;;Hersteld;Hersteld;;;ON;ON;20-7-2017;20-7-2017;A50;A50;VWL;VWL;d;d;;;158,830;158,830;158,800;158,800;ja;ja;ja;ja;;;?;?;?;?;"Rafeling en scheuren";"Rafeling en scheuren";;;"30 m";"30 m";RB;RB;;;"ZOAB TW";"ZOAB TW";;;;;1-4-2018;1-4-2018;;;Heijmans;Heijmans;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;43;;;;;;;;;LVO;LVO;Hersteld;Hersteld;;;ON;ON;20-7-2017;20-7-2017;A50;A50;HRL;HRL;;;"RS 2 + RS 3";"RS 2 + RS 3";157,620;157,620;157,470;157,470;ja;ja;ja;ja;;;?;?;?;?;"Rafeling en scheuren";"Rafeling en scheuren";;;"150 m";"150 m";8;8;"1.200 m2";"1.200 m2";"ZOAB TW";"ZOAB TW";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;44;;;;;;;;;;;Hersteld;Hersteld;;;ON;ON;20-7-2017;20-7-2017;A50;A50;HRL;HRL;;;"RS 1 tm VS";"RS 1 tm VS";156,410;156,410;;;ja;ja;ja;ja;;;?;?;?;?;"1x scheur";"1x scheur";1;1;"20 m";"20 m";2;2;"40 m2";"40 m2";"ZOAB TW";"ZOAB TW";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;45;;;;;;;;;;;Hersteld;Hersteld;;;ON;ON;20-7-2017;20-7-2017;A50;A50;HRL;HRL;;;"RS 2";"RS 2";156,180;156,180;;;ja;ja;ja;ja;;;?;?;?;?;"Rafeling en scheuren";"Rafeling en scheuren";;;"25 m";"25 m";4;4;"100 m2";"100 m2";"ZOAB TW";"ZOAB TW";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;46;;;;;;;;;;;;;;;;;3-8-2017;3-8-2017;A50;A50;HRR;HRR;;;VS;VS;139,800;139,800;140,300;140,300;nee;nee;nee;nee;;;1;1;2;2;Rafeling;Rafeling;;;"500 m";"500 m";4;4;"2.000 m2";"2.000 m2";"ZOAB TW";"ZOAB TW";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;47;;;;;;;;;LVO;LVO;Hersteld;Hersteld;;;ON;ON;3-8-2017;3-8-2017;A50;A50;HRR;HRR;;;"RS 3";"RS 3";153,070;153,070;153,085;153,085;ja;ja;ja;ja;;;?;?;?;?;Craquele;Craquele;;;"25 m";"25 m";4;4;"100 m2";"100 m2";"ZOAB TW";"ZOAB TW";;;;;9-11-2020;9-11-2020;;;"Combinatie Waalkoppel";"Combinatie Waalkoppel";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48;48;;;;;;;;;;;Check;Check;;;;;3-8-2017;3-8-2017;A50;A50;HRL;HRL;;;Invoeger;Invoeger;147,150;147,150;;;ja;ja;nee;nee;;;1;1;1;1;gat;gat;1;1;;;;;" m2";" m2";"ZOAB +";"ZOAB +";;;;;9-5-2023;9-5-2023;;;"Combinatie Waalkoppel";"Combinatie Waalkoppel";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;49;;;;;;;;;;;Check;Check;;;;;3-8-2017;3-8-2017;A50;A50;HRL;HRL;;;"RS 1";"RS 1";146,240;146,240;;;nee;nee;nee;nee;;;1;1;1;1;gat;gat;1;1;;;"RS 1";"RS 1";;;"ZOAB +";"ZOAB +";;;;;7-5-2020;7-5-2020;;;Geomaat;Geomaat;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;50;;;;;;;;;;;Check;Check;;;;;3-8-2017;3-8-2017;A50;A50;VWL;VWL;h;h;"RS 4";"RS 4";148,700;148,700;;;ja;ja;nee;nee;;;1;1;1;1;gat;gat;1;1;;;"RS 4";"RS 4";;;"ZOAB TW";"ZOAB TW";;;;;9-11-2020;9-11-2020;;;"Combinatie Waalkoppel";"Combinatie Waalkoppel";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
51;51;;;;;;;;;;;Check;Check;;;;;3-8-2017;3-8-2017;A50;A50;VWL;VWL;h;h;"RS 2";"RS 2";147,530;147,530;;;ja;ja;nee;nee;;;1;1;1;1;gat;gat;1;1;;;"RS 2";"RS 2";;;"ZOAB +";"ZOAB +";;;;;9-11-2020;9-11-2020;;;"Combinatie Waalkoppel";"Combinatie Waalkoppel";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
53;53;;;;;;;;;;;;;;;;;7-9-2017;7-9-2017;A73;A73;HRL;HRL;;;"RS 1";"RS 1";111,640;111,640;;;nee;nee;Nee;Nee;;;1;1;1;1;rafeling;rafeling;;;"25 m";"25 m";4;4;"100 m2";"100 m2";ZOAB;ZOAB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54;54;;;;;;;;;;;Hersteld;Hersteld;;;ON;ON;7-9-2017;7-9-2017;A73;A73;HRL;HRL;;;"RS 1 + 2";"RS 1 + 2";92,750;92,750;92,800;92,800;nee;nee;Nee;Nee;;;?;?;?;?;"rafeling, scheur en langsnaad";"rafeling, scheur en langsnaad";;;"75 m";"75 m";8;8;"600 m2";"600 m2";ZOAB;ZOAB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
55;55;;;;;;;;;;;Hersteld;Hersteld;;;;;7-9-2017;7-9-2017;A73;A73;HRL;HRL;;;"RS 2";"RS 2";92,240;92,240;;;nee;nee;Nee;Nee;;;1;1;1;1;"beginnend gat";"beginnend gat";;;;;;;1m2;1m2;ZOAB;ZOAB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
56;56;;;;;;;;;;;;;;;;;7-9-2017;7-9-2017;A73;A73;HRL;HRL;;;"RS 2";"RS 2";92,000;92,000;91,800;91,800;nee;nee;Nee;Nee;;;1;1;1;1;"rafeling en lichte scheuren";"rafeling en lichte scheuren";;;"200 m";"200 m";4;4;"800 m2";"800 m2";ZOAB;ZOAB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
