"Volg nr.";ID-ON;"SR- Schadenr";"Datum Opname";"Status Schade";Proces;"Status proces";Opmerking1;Bron;"Datum Schouw";Weg;Baan;DVK;Strook;"Hm van";"Tot Hm";"Verl.
Aanw";"Sign.
aanw";"IVON Plan";"Risico klasse";"Ernst klasse";Schadebeeld;"Aantal (stuks)
gaten/ scheuren";"Lengte in m";"Breedte in m";"Opper vlakte in m2";"Huidige deklaag";Lussen;Onderzoek;"Datum Garantie tot1";"Unieke Garantie Code";"Naam Garantiegever";Opmerking2;"Type inzet";"Advies aanpak";Foto's;Schets;"Plan Datum";Opm.;Offertenr.;"Datum Mail Akkoord";Opdrachtnr.;"Opdracht Datum";"Kosten Indicatie";Opmerking3;"Datum Uitvoering";"Type Asfalt";"Datum Garantie tot2";Opmerking4;"Afl. dossier nr.";Volgnr.;"Def. Bedrag";"Datum Ontvangst RWS";"Datum Techn. Akkoord";"Datum Fin. Akkoord";"Datum Akkoord CM";"Datum PV";Opmerking5
1;1;;;;;;;;;;;Hersteld;Hersteld;;;;;5-7-2017;5-7-2017;A15;A15;HRR;HRR;;;"RS 1 tm VS";"RS 1 tm VS";116,580;116,580;116,620;116,620;nee;nee;nee;nee;;;2;2;1;1;6x;6x;6;6;;;RB;RB;;;ZOAB+;ZOAB+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;2;;;;;;;;;;;Hersteld;Hersteld;;;;;5-7-2017;5-7-2017;A15;A15;HRR;HRR;;;"RS 1 tm VS";"RS 1 tm VS";116,690;116,690;;;nee;nee;nee;nee;;;2;2;1;1;"1x scheur, 1x gat";"1x scheur, 1x gat";"1x scheur, 1x gat";"1x scheur, 1x gat";;;RB;RB;;;ZOAB+;ZOAB+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;3;;;;;;;;;;;Hersteld;Hersteld;;;;;5-7-2017;5-7-2017;A15;A15;HRR;HRR;;;"RS 1 tm VS";"RS 1 tm VS";116,970;116,970;;;nee;nee;nee;nee;;;2;2;1;1;"1x scheur";"1x scheur";1;1;;;RB;RB;;;ZOAB+;ZOAB+;;;;;4-2-2021;4-2-2021;;;Heijmans;Heijmans;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;4;;;;;;;;;;;Hersteld;Hersteld;;;;;5-7-2017;5-7-2017;A15;A15;HRR;HRR;;;"RS 1 tm VS";"RS 1 tm VS";117,120;117,120;117,250;117,250;nee;nee;nee;nee;;;2;2;1;1;4x;4x;4;4;;;RB;RB;;;ZOAB+;ZOAB+;;;;;4-2-2021;4-2-2021;;;Heijmans;Heijmans;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;5;;;;;;;;;;;Hersteld;Hersteld;;;;;5-7-2017;5-7-2017;A15;A15;HRR;HRR;;;"RS 1 tm VS";"RS 1 tm VS";117,850;117,850;117,880;117,880;nee;nee;nee;nee;;;2;2;1;1;3;3;3;3;;;RB;RB;;;ZOAB+;ZOAB+;;;;;12-12-2021;12-12-2021;;;Heijmans;Heijmans;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;6;;;;;;;;;;;Hersteld;Hersteld;;;;;5-7-2017;5-7-2017;A15;A15;HRR;HRR;;;"RS 1 tm VS";"RS 1 tm VS";118,285;118,285;118,310;118,310;nee;nee;nee;nee;;;2;2;1;1;"scheur + rafeling";"scheur + rafeling";;;;;RB;RB;;;ZOAB+;ZOAB+;;;;;12-12-2021;12-12-2021;;;Heijmans;Heijmans;"Van 118.285 - 118.295";"Van 118.285 - 118.295";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;7;;;;;;;;;;;Hersteld;Hersteld;;;;;5-7-2017;5-7-2017;A15;A15;HRR;HRR;;;"RS 1 tm VS";"RS 1 tm VS";118,410;118,410;118,550;118,550;nee;nee;nee;nee;;;2;2;1;1;"scheur + rafeling";"scheur + rafeling";;;;;RB;RB;;;ZOAB+;ZOAB+;;;;;12-12-2021;12-12-2021;;;Heijmans;Heijmans;"Van 118.410 - 118.420";"Van 118.410 - 118.420";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;8;;;;;;;;;;;Hersteld;Hersteld;;;;;5-7-2017;5-7-2017;A15;A15;HRR;HRR;;;"RS 2 + VS";"RS 2 + VS";125,870;125,870;125,900;125,900;nee;nee;nee;nee;;;2;2;1;1;"Rafeling en herstelvakken";"Rafeling en herstelvakken";;;;;"RS 2 + 1m1";"RS 2 + 1m1";;;ZOAB;ZOAB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;9;;;;;;;;;;;Hersteld;Hersteld;;;;;5-7-2017;5-7-2017;A15;A15;HRR;HRR;;;"RS 1 tm VS";"RS 1 tm VS";126,180;126,180;126,250;126,250;nee;nee;nee;nee;;;2;2;1;1;3x;3x;3;3;;;RB;RB;;;ZOAB;ZOAB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;10;;;;;;;;;;;Hersteld;Hersteld;;;;;13-7-2017;13-7-2017;A15;A15;HRR;HRR;;;RS2-VS;RS2-VS;121,350;121,350;;;nee;nee;nee;nee;;;1;1;1;1;1x;1x;1;1;;;0,2;0,2;;;ZOAB+;ZOAB+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;11;;;;;;;;;;;;;;;;;13-7-2017;13-7-2017;A15;A15;HRR;HRR;;;"RS 1 tm VS";"RS 1 tm VS";126,175;126,175;;;nee;nee;nee;nee;;;2;2;2;2;1x;1x;1;1;"14 m";"14 m";RB;RB;;;ZOAB;ZOAB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
