id;"Volg nr.";ID-ON;"SR- Schadenr";"Datum Opname";"Status Schade";Proces;"Status proces";Opmerking1;Bron;"Datum Schouw";Weg;Baan;DVK;Strook;"Hm van";"Tot Hm";"Verl.
Aanw";"Sign.
aanw";"IVON Plan";"Risico klasse";"Ernst klasse";Schadebeeld;"Aantal (stuks)
gaten/ scheuren";"Lengte in m";"Breedte in m";"Opper vlakte in m2";"Huidige deklaag";Lussen;Onderzoek;"Datum Garantie tot1";"Unieke Garantie Code";"Naam Garantiegever";Opmerking2;"Type inzet";"Advies aanpak";Foto's;Schets;"Plan Datum";Opm.;Offertenr.;"Datum Mail Akkoord";Opdrachtnr.;"Opdracht Datum";"Kosten Indicatie";Opmerking3;"Datum Uitvoering";"Type Asfalt";"Datum Garantie tot2";Opmerking4;"Afl. dossier nr.";Volgnr.;"Def. Bedrag";"Datum Ontvangst RWS";"Datum Techn. Akkoord";"Datum Fin. Akkoord";"Datum Akkoord CM";"Datum PV";Opmerking5
11;11;12;12;;;;;28-5-2018;28-5-2018;Open;Open;Monitoren;Monitoren;Hold;Hold;"melding 180528-000223";"melding 180528-000223";800;800;25-6-2018;25-6-2018;A28;A28;HRL;HRL;d;d;2R-L;2R-L;105,05;105,05;105,05;105,05;Ja;Ja;Nee;Nee;;;;;2;2;Gat;Gat;1;1;;;;;;;SMA;SMA;;;;;;;;;;;;;MON;MON;;;Ja;Ja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;12;14;14;C-74;C-74;;;13-6-2018;13-6-2018;Open;Open;Garantie;Garantie;Hold;Hold;Mail;Mail;OG;OG;13-6-2018;13-6-2018;A32;A32;HRL;HRL;;;1I-L;1I-L;18,7;18,7;18,7;18,7;Nee;Nee;Nee;Nee;;;;;3;3;"Gat en diepe scheur";"Gat en diepe scheur";1;1;;;;;;;ZOAB/ZOEAB;ZOAB/ZOEAB;;;;;15-6-2024;15-6-2024;;;;;;;RB;RB;;;Ja;Ja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;13;17;17;C-30;C-30;7500094164;7500094164;28-5-2018;28-5-2018;Veilig;Veilig;Calamiteit;Calamiteit;Hersteld;Hersteld;"Calamiteit met restschade";"Calamiteit met restschade";WIS;WIS;28-5-2018;28-5-2018;A28;A28;HRR;HRR;;;"2R-R; 1V-R";"2R-R; 1V-R";62,2;62,2;62,2;62,2;Nee;Nee;Nee;Nee;;;;;3;3;"Div grote schadebeelden";"Div grote schadebeelden";>5;>5;;;;;;;DAB;DAB;;;;;;;;;;;;;MON;MON;;;Ja;Ja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;14;19;19;C-68;C-68;;;10-6-2018;10-6-2018;Open;Open;Calamiteit;Calamiteit;Hold;Hold;;;WIS;WIS;10-6-2018;10-6-2018;A1;A1;HRL;HRL;;;3R-L;3R-L;93,3;93,3;93,3;93,3;Ja;Ja;Ja;Ja;;;;;1;1;Krassen;Krassen;1;1;;;;;;;ZOABTW;ZOABTW;;;;;31-12-2021;31-12-2021;;;;;;;MON;MON;;;Ja;Ja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;15;20;20;C-79;C-79;;;14-6-2018;14-6-2018;Veilig;Veilig;Calamiteit;Calamiteit;Hersteld;Hersteld;"Calamiteit met restschade";"Calamiteit met restschade";WIS;WIS;14-6-2018;14-6-2018;A28;A28;HRL;HRL;;;"2R-L; 3R-L; 1U-L";"2R-L; 3R-L; 1U-L";112,3;112,3;112,3;112,3;Nee;Nee;Ja;Ja;;;;;3;3;Brandschade;Brandschade;;;;;;;;;ZOABTW;ZOABTW;;;;;;;;;;;;;MON;MON;;;Ja;Ja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;16;21;21;;;;;18-6-2018;18-6-2018;Open;Open;;;Bespreken;Bespreken;"melding 180618-000620.1";"melding 180618-000620.1";800;800;14-7-2018;14-7-2018;A1;A1;HRR;HRR;;;3R-R;3R-R;86,6;86,6;86,9;86,9;Ja;Ja;Ja;Ja;;;;;3;3;Gaten;Gaten;>5;>5;;;;;;;ZOABTW;ZOABTW;;;;;;;;;;;;;RB;RB;;;Ja;Ja;;;;;;;;;;;;;;;;;"Melding was herzien d.d. 30-7-18, locatie was onjuist doorgegeven.";"Melding was herzien d.d. 30-7-18, locatie was onjuist doorgegeven.";;;;;;;;;;;;;;;;;;;;;;;;;;
17;17;22;22;;;;;25-6-2018;25-6-2018;Open;Open;Monitoren;Monitoren;Hold;Hold;;;ON;ON;25-6-2018;25-6-2018;A28;A28;HRL;HRL;;;1R-L;1R-L;110,55;110,55;110,55;110,55;Nee;Nee;Ja;Ja;;;;;2;2;Rafeling;Rafeling;;;;;;;;;ZOAB;ZOAB;;;;;;;;;;;;;HB;HB;11;11;Ja;Ja;;;;;"ZSM2 traject";"ZSM2 traject";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;18;23;23;;;;;24-6-2018;24-6-2018;Open;Open;Spoed;Spoed;Plan;Plan;"melding 180624-000065";"melding 180624-000065";800;800;14-7-2018;14-7-2018;A32;A32;HRL;HRL;;;1R-L;1R-L;6,7;6,7;6,9;6,9;Ja;Ja;Ja;Ja;;;;;3;3;Gat;Gat;1;1;;;;;;;ZOABTW;ZOABTW;;;;;;;;;;;;;HB;HB;12;12;Ja;Ja;;;29-11-2018;29-11-2018;;;HB-006;HB-006;15-11-2018;15-11-2018;HB-006;HB-006;;;"? 10.900,00";"? 10.900,00";;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;19;24;24;C-106;C-106;;;26-6-2018;26-6-2018;Open;Open;Calamiteit;Calamiteit;Hold;Hold;;;WIS;WIS;26-6-2018;26-6-2018;A50;A50;HRL;HRL;;;2R-L;2R-L;207,2;207,2;207,2;207,2;Ja;Ja;Nee;Nee;;;;;2;2;Krassen;Krassen;1;1;;;;;;;ZOAB;ZOAB;;;;;1-12-2022;1-12-2022;;;;;;;MON;MON;;;Ja;Ja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;20;25;25;C-107;C-107;;;26-6-2018;26-6-2018;Open;Open;LVO;LVO;Plan;Plan;;;WIS;WIS;26-6-2018;26-6-2018;A1;A1;HRL;HRL;;;VAR;VAR;79;79;77;77;Nee;Nee;Nee;Nee;;;;;3;3;"Diverse gaten";"Diverse gaten";>5;>5;;;;;;;VAR;VAR;Ja;Ja;;;;;;;;;;;BB;BB;;;Ja;Ja;Ja;Ja;;;;;UP-009;UP-009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;21;26;26;C-112;C-112;;;29-6-2018;29-6-2018;Open;Open;Calamiteit;Calamiteit;Hold;Hold;;;WIS;WIS;29-6-2018;29-6-2018;A28;A28;VW;VW;n;n;ALL;ALL;92,8;92,8;92,8;92,8;Ja;Ja;Ja;Ja;;;;;2;2;"Gat en voegrubber beschadigd";"Gat en voegrubber beschadigd";1;1;;;;;;;ZOABTW;ZOABTW;;;;;;;;;;;;;MON;MON;;;Ja;Ja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;22;27;27;C-115;C-115;;;21-9-2018;21-9-2018;Open;Open;Calamiteit;Calamiteit;Hold;Hold;;;WIS;WIS;21-9-2018;21-9-2018;A28;A28;HRR;HRR;;;1R-R;1R-R;67,2;67,2;67,2;67,2;Nee;Nee;Nee;Nee;;;;;3;3;Krassen;Krassen;;;;;;;;;ZOAB;ZOAB;;;;;;;;;;;;;MON;MON;;;Ja;Ja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;23;28;28;C-126;C-126;;;3-7-2018;3-7-2018;Open;Open;Garantie;Garantie;Hold;Hold;;;WIS;WIS;3-7-2018;3-7-2018;A28;A28;HRR;HRR;;;"1R-R; 2R-R";"1R-R; 2R-R";92,9;92,9;92,9;92,9;Ja;Ja;Ja;Ja;;;;;3;3;Gat;Gat;1;1;;;;;;;ZOABTW;ZOABTW;;;;;1-12-2021;1-12-2021;;;;;;;HB;HB;12;12;Ja;Ja;;;;;"ZSM2 traject";"ZSM2 traject";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;24;29;29;C-192;C-192;;;13-7-2018;13-7-2018;Open;Open;Vervolg;Vervolg;Plan;Plan;;;WIS;WIS;13-7-2018;13-7-2018;A32;A32;HRL;HRL;d;d;1R-L;1R-L;16;16;16;16;Nee;Nee;Nee;Nee;;;;;3;3;Gat;Gat;1;1;;;;;;;ZOAB;ZOAB;;;;;;;;;;;;;HB;HB;9;9;Ja;Ja;;;27-11-2018;27-11-2018;;;HB-002;HB-002;4-10-2018;4-10-2018;HB-002;HB-002;;;"? 10.900,00";"? 10.900,00";;;;;;;;;;;;;;;;;;;;;;;;;;;;
